g__Methanobrevibacter	k__Bacteria	g__Actinomyces	g__Bifidobacterium	g__Corynebacterium	g__Olsenella	f__Coriobacteriaceae	g__Collinsella	g__Senegalimassilia	f__Eggerthellaceae	g__Eggerthella	g__Enterorhabdus	g__Gordonibacter	g__Slackia	f__Bacteroidaceae	g__Bacteroides	f__Barnesiellaceae	g__Barnesiella	f__Muribaculaceae	g__Butyricimonas	g__Odoribacter	f__Prevotellaceae	g__Massiliprevotella	g__Paraprevotella	g__Prevotella	g__Prevotellamassilia	f__Rikenellaceae	g__Alistipes	f__Tannerellaceae	g__Parabacteroides	f__Sphingobacteriaceae	g__Elusimicrobium	p__Firmicutes	f__Bacillaceae	f__Thermoactinomycetaceae	g__Granulicatella	g__Enterococcus	g__Lactobacillus	g__Weissella	g__Lactococcus	g__Streptococcus	o__Clostridiales	g__Colidextribacter	g__Flavonifractor	g__Flintibacter	g__Howardella	g__Intestinimonas	g__Pseudoflavonifractor	f__Clostridiaceae	g__Butyricicoccus	g__Clostridium	g__Hungatella	f__Clostridiales.Family.XIII..Incertae.Sedis	g__Ihubacter	g__Mogibacterium	f__Defluviitaleaceae	f__Eubacteriaceae	g__Eubacterium	f__Gracilibacteraceae	f__Lachnospiraceae	g__Anaerosporobacter	g__Anaerostipes	g__Blautia	g__Butyrivibrio	g__Coprococcus	g__Cuneatibacter	g__Dorea	g__Eisenbergiella	g__Faecalicatena	g__Fusicatenibacter	g__Hespellia	g__Lachnobacterium	g__Lachnoclostridium	g__Lachnospira	g__Muricomes	g__Parasporobacterium	g__Pseudobutyrivibrio	g__Robinsoniella	g__Roseburia	g__Tyzzerella	f__Oscillospiraceae	g__Oscillibacter	f__Peptococcaceae	g__Peptococcus	f__Peptostreptococcaceae	g__Intestinibacter	g__Paeniclostridium	g__Romboutsia	g__Terrisporobacter	f__Ruminococcaceae	g__Acutalibacter	g__Caproiciproducens	g__Drancourtella	g__Faecalibacterium	g__Gemmiger	g__Negativibacillus	g__Ruminiclostridium	g__Ruminococcus	g__Sporobacter	g__Subdoligranulum	f__Erysipelotrichaceae	g__Catenibacterium	g__Erysipelatoclostridium	g__Holdemanella	g__Holdemania	g__Longibaculum	g__Turicibacter	g__Phascolarctobacterium	g__Megamonas	g__Mitsuokella	g__Propionispira	g__Allisonella	g__Dialister	g__Megasphaera	g__Veillonella	g__Fusobacterium	o__Victivallales	f__Victivallaceae	g__Victivallis	c__Alphaproteobacteria	f__Kiloniellaceae	g__Oxalobacter	g__Duodenibacillus	g__Parasutterella	g__Sutterella	f__Desulfovibrionaceae	g__Desulfovibrio	f__Succinivibrionaceae	g__Succinivibrio	o__Enterobacterales	f__Enterobacteriaceae	g__Haemophilus	f__Spiroplasmataceae	g__Akkermansia
CS.104	0	0.00010512207300728	0.000840976584058238	0.0268324091351081	5.25610365036399e-05	0.00727970355575412	0.00215500249664923	0.139996320727445	0.0267272870621009	0.00199731938713831	0	0.00722714251925048	0	0.00559775038763764	0.00249664923392289	0.00854116843184148	0	2.62805182518199e-05	0.0106173293737352	0	0.000630732438043678	0.00310110115371475	5.25610365036399e-05	0	0.202727917794539	0.000683293474547318	0	0.00136658694909464	0	0.00312738167196657	0.0147170902210192	0	2.62805182518199e-05	0	0.00315366219021839	7.88415547554598e-05	2.62805182518199e-05	0.00722714251925048	2.62805182518199e-05	2.62805182518199e-05	0.00283829597119655	0.0121941604688444	0	0	0.00323250374497385	0	0.000551890883288218	0.000210244146014559	0.00152427005860556	0.00407348032903209	0.0605240335339413	0.00365299203700297	0.000946098657065517	0.00149798954035374	0.00446768810280939	0	0.00638616593519224	0.0529289637591653	0.000262805182518199	0.0156369083598329	0.0001314025912591	0.000788415547554598	0.0521668287298626	0	0.0141126383012273	0	0.00475677380357941	0	0.000289085700770019	0.00333762581798113	0.000289085700770019	0.00015768310951092	0.00370555307350661	0.000604451919791858	0.00010512207300728	0.000289085700770019	0	0.000893537620561878	0.0272528974271373	0.000709573992799138	0.00152427005860556	0.0073848256287614	0.000657012956295498	0.000972379175317337	2.62805182518199e-05	0.00010512207300728	0	0.0405245591443063	0	0.00730598407400594	0.000446768810280939	0.000262805182518199	0	0.061732937373525	0.00846232687708602	0.000840976584058238	0.00507214002260125	0.0393419358229744	0.00360043100049933	0.00270689337993745	0.00333762581798113	0.000499329846784579	0	0.0101705605634543	0	0	0.000919818138813697	0.000289085700770019	0	2.62805182518199e-05	0.000183963627762739	0	0.0159522745788547	0	0.000525610365036398	2.62805182518199e-05	0	0	0	0	0	0.00010512207300728	0.00678037370896954	0	0.0135081863814354	0.00010512207300728	0.00423116343854301	0	0	0.000499329846784579	0.000446768810280939	0.000499329846784579	0.00015768310951092	0.00223384405140469
CS.059	0.0206687394872318	0.000178398491258474	0.000484224476273001	0.0609867985116469	0.0011978184413069	0	2.54854987512106e-05	0.0126408073806004	0.00448544778021306	0.00247209337886742	0.000305825985014527	0.00173301391508232	2.54854987512106e-05	2.54854987512106e-05	0.000841021458789948	0.0337428003466028	0.0116978439268056	0.00124878943880932	0.0086905550741628	0.00129976043631174	0.00247209337886742	0.00356796982516948	0	0	0.128294000713594	0.0224017534023141	0	0.0134053723431368	0.000203883990009685	0.0116468729293032	0.0305825985014527	0	0.000152912992507263	0.000637137468780264	0.00160558642132627	0	0.000305825985014527	0.00091747795504358	0	0	0.0173556246495744	0.0226566083898262	0	2.54854987512106e-05	0.00856312758040675	0.00043325347877058	0.000713593965033896	0.000305825985014527	0.0151383862582191	0.00614200519904175	0.0274988531525562	0.00326214384015495	0.00178398491258474	0.00435802028645701	0	0.0205158264947245	0.00219175289260411	0.0283143891125949	0.000968448952546001	0.00568326622151996	0.000407767980019369	0.00310923084764769	0.0409806819919466	0.0122330394005811	0.00904735205667975	0	0.00899638105917733	2.54854987512106e-05	0.000331311483765737	0.00440899128395943	0.000356796982516948	0	0.00512258524899332	0	0.000254854987512106	0.000280340486263316	0	7.64564962536317e-05	0.0214333044497681	0.0011978184413069	0.00244660788011621	0.0297415770426627	5.09709975024211e-05	0	0	0	0	0.00973546052296244	0.000152912992507263	0.018757327080891	0.000356796982516948	0	0	0.0882817676741934	0.00499515775523727	0.000229369488760895	0.00122330394005811	0.0382792191243183	0.00894541006167491	0.00219175289260411	0.00257403537387227	0.0322391559202814	0.00043325347877058	0.0212039349610072	5.09709975024211e-05	0	0.00163107192007748	0.0372343136755186	0	0	0	0.00045873897752179	0	0	0.000101941995004842	0.000203883990009685	0.000866506957541159	0.00298180335389164	0.000407767980019369	0	5.09709975024211e-05	0.000535195473775422	0.0148325602732045	0	0.00461287527396911	2.54854987512106e-05	0.00616749069779296	0	0.000407767980019369	7.64564962536317e-05	0.000764564962536317	0.000127427493756053	0	0
CS.143	0	0.000239678830367308	0.000958715321469231	0.00164779195877524	8.98795613877404e-05	0.000838875906285577	0.00500329558391755	0.0527593025346036	0.00802924081730481	0.00122835400563245	0	0.00161783210497933	0	0.00218706932710168	5.99197075918269e-05	0.0577026784109294	0	0.000359518245550962	0.0128827371322428	0.0022170291808976	0	0.0100665108754269	0	2.99598537959135e-05	0.0473365689975433	0	0.00137815327461202	0.00194739049673438	2.99598537959135e-05	0.00320570435616274	0	0	2.99598537959135e-05	0	0.00320570435616274	0.000239678830367308	0.000329558391755048	0.00611181017436635	2.99598537959135e-05	0.00308586494097909	0.00341542333273414	0.030109653064893	0.000179759122775481	0.000359518245550962	0.00302594523338726	0	0.0022170291808976	0.000119839415183654	0.00539277368326443	0.00257654742644856	0.0154592845586914	0.00497333573012164	0.000389478099346875	0.00362514230930553	0.00590209119779495	5.99197075918269e-05	0.00257654742644856	0.030828689555995	0.000119839415183654	0.009347474384325	0.000179759122775481	0.000389478099346875	0.0415842770687279	0.0129726166936305	0.0119539816645695	5.99197075918269e-05	0.0164479597339565	0	8.98795613877404e-05	0.00506321529150938	0.000209718976571394	0.000209718976571394	0.00548265324465217	0.0015579123973875	0.000119839415183654	8.98795613877404e-05	5.99197075918269e-05	0	0.0116543831266103	0.00347534304032596	0.00209718976571394	0.0233087662532207	0.000119839415183654	0	0	0.00515309485289712	0.000808916052489664	0.0866139373239859	0.000329558391755048	0.0156989633890587	0.000299598537959135	0	0	0.0611780214512553	0.00817904008628438	0.00275630654922404	0.000479357660734616	0.0628857331176224	0.00707052549583558	0.00275630654922404	0.00164779195877524	0.00374498172448918	0	0.0207022589729762	2.99598537959135e-05	2.99598537959135e-05	2.99598537959135e-05	0.0166576787105279	0	0	0	0	0.0205824195577926	0	0.000419437953142789	0	0	0	0	0	0	0	0.0146204086524058	0	0	0.000239678830367308	0.00341542333273414	0	0.00473365689975433	0.0630954520941938	0.104679729162922	0.000119839415183654	0.000419437953142789	0
CS.036	0	0	0.00179533213644524	0.000209455415918612	0.00068821065230401	0	0.00218432076600838	0.079443447037702	0.0134649910233393	0.000329144225014961	2.99222022740874e-05	2.99222022740874e-05	5.98444045481747e-05	0.00341113105924596	2.99222022740874e-05	0.0988330341113106	0	0.00182525433871933	0	0.00203470975463794	0.0128665469778576	0	0	0	0.00068821065230401	2.99222022740874e-05	0	0.0385697187312986	2.99222022740874e-05	0.0126271693596649	0	0	0	0.00158587672052663	0.0066427289048474	0.000239377618192699	0	0.0115798922800718	0.0033213644524237	0.000538599640933573	0.014721723518851	0.0222022740873728	0	0	0.00371035308198683	0	0.0068821065230401	8.97666068222621e-05	0.0492519449431478	0.000538599640933573	0.00281268701376421	0.00694195092758827	0.00161579892280072	0.00511669658886894	2.99222022740874e-05	0.000179533213644524	0.00771992818671454	0.0372531418312388	0.000299222022740874	0.0049670855774985	5.98444045481747e-05	0.000448833034111311	0.0627169359664871	0.0255535607420706	0.0179233991621783	0	0.0251645721125075	0.00158587672052663	0.000807899461400359	0.023638539796529	0.00248354278874925	5.98444045481747e-05	0.0059245960502693	0	0.000179533213644524	0.000149611011370437	0	0.000628366247755835	0.00122681029323758	0.00362058647516457	0.000598444045481747	0.0366247755834829	2.99222022740874e-05	0	0	0.00152603231597846	0	0.0267803710353082	0	0.0360562537402753	0.000119688809096349	0.000658288450029922	0	0.00577498503889886	0.00137642130460802	0.000837821663674446	0.00233393177737881	0.0357570317175344	0.0252842609216038	0.00128665469778576	0.00942549371633752	0.00484739676840215	5.98444045481747e-05	0.0907839616995811	2.99222022740874e-05	0.000119688809096349	0	0.00272292040694195	0	0	0	0	0.00691202872531418	0	8.97666068222621e-05	0	0	0.000598444045481747	0.000418910831837223	0	0	0.000807899461400359	0	2.99222022740874e-05	0.00526630760023938	0.00167564332734889	0.00739078396169958	0	0	0.00119688809096349	0.000299222022740874	8.97666068222621e-05	0.0103231597845601	0.0426391382405745
CS.259	0.000120977498185338	0.0461865204183133	0.000322606661827567	0.000134419442428153	2.68838884856306e-05	0.00025539694061349	0.00438207382315778	0.0269376562626018	0.00356211522434605	0.000618329435169503	0	0.000860284431540178	0	0.00112912331639648	0.00338736994918945	0.0264671882141033	0	1.34419442428153e-05	0.00227168857703578	4.03258327284458e-05	0.000309164717584751	0.0340350028228083	0.00178777858429443	0	0.253783907304353	2.68838884856306e-05	0	0.000470468048498535	0	0.000914052208511439	0.00224480468855015	0	0	2.68838884856306e-05	0.00118289109336774	2.68838884856306e-05	0	0.002110385246122	1.34419442428153e-05	0	0.00435518993467215	0.0150953033846816	0.000618329435169503	0.000134419442428153	0.00107535553942522	0.00022851305212786	0.000268838884856306	9.4093609699707e-05	0.000134419442428153	0.00274215662553432	0.024087964083125	0.00346802161464634	0.000537677769712611	0.000537677769712611	0.00147861386670968	5.37677769712611e-05	0.000430142215770089	0.0311718686990886	0	0.016372288087749	0.000134419442428153	0.00127698470306745	0.0356614780761889	0	0.0166008011398769	4.03258327284458e-05	0.00680162378686453	0	5.37677769712611e-05	0.00125010081458182	0.000241954996370675	6.72097212140764e-05	0.00884479931177246	0.00832056348630266	0.000403258327284458	0.000322606661827567	2.68838884856306e-05	0.000188187219399414	0.00973196763179826	0.000578003602441057	0.000752748877597656	0.00180122052853725	0.00022851305212786	0	2.68838884856306e-05	6.72097212140764e-05	0	0.00606231685350969	0	0.00479877409468506	4.03258327284458e-05	0	0	0.0470333629056107	0.0061564104632094	0.000376374438798828	0.00022851305212786	0.0288732962335672	0.00134419442428153	0.000685539156383579	0.00220447885582171	0.00647901712503697	0.000188187219399414	0.0093287093045138	0	0	0	0.065059010135226	1.34419442428153e-05	0	1.34419442428153e-05	0.000618329435169503	0	0	0.000268838884856306	1.34419442428153e-05	8.06516654568917e-05	0	0	0	0	4.03258327284458e-05	0.00513482270075544	0	0.0079173051590182	1.34419442428153e-05	0.00166680108610909	0.00571282630319649	0.114821087722128	6.72097212140764e-05	5.37677769712611e-05	0	0.000914052208511439	0.000134419442428153
CS.021	0	0	0.000564121850319669	0.0388706817815505	0.000161177671519905	0	0	0.0738193735561167	0	0.00445924891205072	0.000590984795572987	0.00193413205823887	0	0	0.000134314726266588	0.172379519690539	0	0	0.00996615268898082	0.00308923870413152	0	0	0	0	0.0913071509160264	2.68629452533176e-05	0	0.00247139096330522	0	0.0112555740611401	0	0	0	0	0.00330414226615806	0.000725299521839574	2.68629452533176e-05	0.00445924891205072	0	0.00123569548165261	0.0121957771450062	0.00897222371460807	0	0.000564121850319669	0.0013700102079192	5.37258905066351e-05	0.00099392897437275	0.000161177671519905	5.37258905066351e-05	0.00145059904367915	0.0243915542900124	0.00368022349970451	0.000832751302852845	0.000698436576586257	0.00010745178101327	0	0.000161177671519905	0.0253048944286252	0	0.0131359802288723	2.68629452533176e-05	0.00128942137215924	0.0274807929941439	0	0.0156073711921775	8.05888357599527e-05	0.00883790898834148	0	0.00010745178101327	0.00564121850319669	0.000617847740826304	0	0.00652769569655617	2.68629452533176e-05	2.68629452533176e-05	0.00145059904367915	0	0	0.0296835545049159	0.00577553322946328	0.00155805082469242	0.00491591898135712	0	0.00010745178101327	0	0.00405630473325095	0.00899908665986139	0.0414763874711223	0.000537258905066351	0.00762907645194219	0.000940203083866115	0	0	0.0861226024821361	0.0128404878310858	0	0.000510395959813034	0.0506366518025036	0.000725299521839574	0.00330414226615806	0.00854241659055499	0.00174609144146564	5.37258905066351e-05	0.013619513243432	0.00010745178101327	0.00010745178101327	0.000644710686079622	0.0202277977757481	0	0	0	0.00147746198893247	0.000134314726266588	0	0.00128942137215924	0.0222962445602536	2.68629452533176e-05	0	2.68629452533176e-05	0	0	0	0	8.05888357599527e-05	0.0388706817815505	2.68629452533176e-05	0.0030623757588782	0	0.000859614248106162	0.0117391070756998	0.0125718583785526	0.0109600816633536	0.000188040616773223	0.0073335840541557
L.008.M1	0	4.17162046597001e-05	0.00206495213065515	0.010992219927831	6.25743069895501e-05	0	0.0001668648186388	0.110339361324907	0.0116388211000563	0	0.000771749786204451	0.0002920134326179	0.00010429051164925	0	4.17162046597001e-05	0.0280124314289886	2.085810232985e-05	0	0	2.085810232985e-05	0	0.000730033581544751	0	0	0.00022943912562835	0	0	4.17162046597001e-05	0	0.000563168762905951	0	0	0	0	0.000563168762905951	0.00010429051164925	0.00127234424212085	0.00123062803746115	0.0117222535093757	0.000896898400183551	0.154078801910602	0.00778007216903406	0	0	6.25743069895501e-05	0	0	0	2.085810232985e-05	0.00415076236364016	0.000709175479214901	0.000500594455916401	0.000834324093194001	0.0001251486139791	0	0	4.17162046597001e-05	0.0284713096802453	0	0.0249045741818409	2.085810232985e-05	0.00707089668981916	0.0755897628433765	8.34324093194001e-05	0.0133700435934339	0.0001251486139791	0.0162276036126233	0	0	0.0256763239680454	0.000730033581544751	2.085810232985e-05	0.00529795799178191	0.00456792441023716	0.00035458773960745	0.000375445841937301	6.25743069895501e-05	0	0.0114928143837474	0.00014600671630895	0	8.34324093194001e-05	0	0	0	0.00901070020649521	0	0.0030035667354984	0.00477650543353566	0.00467221492188641	0.0001668648186388	0.00018772292096865	0	0.142836284754813	0.00527709988945206	0	6.25743069895501e-05	0.0480153515633148	0.00168950628871785	0.000855182195523851	0.0139332123563398	2.085810232985e-05	0.000792607888534301	2.085810232985e-05	0	0.00014600671630895	0	0.002502972279582	0	0	0	0	0	0	0.0161024549986442	4.17162046597001e-05	0	0	0	0	0	0	2.085810232985e-05	0	4.17162046597001e-05	2.085810232985e-05	0.00018772292096865	0	6.25743069895501e-05	0.136683144567507	0.0262186346286215	0.00896898400183551	0	0.0002085810232985
CS.296	0.000200251224263167	0.000382297791775136	0.000273069851267954	0.00402322914201453	0.000109227940507182	0.000782800240301469	0.002403014691158	0.0351896015000637	0.00227558209389962	0.000546139702535909	0	0.000873823524057454	0	0.00100125612131583	0	0.0196428246345415	0	9.10232837559848e-05	0	0.000364093135023939	0.00023666053776556	0.0164388050463309	0	0	0.269283282663705	0.0328594054359105	0.000527935045784712	0.00116509803207661	0	0.000928437494311045	0	0.0218455881014363	0	0.000254865194516757	0.00314940561795707	3.64093135023939e-05	0.0006007536727895	0.0168757168083596	0.000782800240301469	1.8204656751197e-05	0.00140175856984217	0.0188054104239865	0.000127432597258379	7.28186270047878e-05	0.00285813110993792	0	0.00109227940507182	0.000364093135023939	0.00342247546922503	0.00145637254009576	0.0104676776319382	0.00438732227703847	0.00083741421055506	0.000964846807813439	0	0.000309479164770348	0.0018204656751197	0.0233747792685369	7.28186270047878e-05	0.00806466294078025	0.000273069851267954	0.00209353552638765	0.0220094300121971	0	0.0270157106187763	1.8204656751197e-05	0.0150188418197375	3.64093135023939e-05	0.000109227940507182	0.0054067830551055	0.000327683821521545	0.000254865194516757	0.00387759188800495	0.00101946077806703	0.000527935045784712	0	5.46139702535909e-05	0	0.0379749139829968	0.00189328430212448	0.0029673590504451	0.0071726347599716	0	0.000764595583550272	0	0.000910232837559848	0	0.0346434617975278	0.000309479164770348	0.00915694234585207	0.000382297791775136	0.000782800240301469	0	0.0450201161457101	0.00369554532049298	0.00249403797491398	0.00100125612131583	0.0346070524840254	0.00362272669348819	0.00156560048060294	0.00486064335256959	0.033642205676212	1.8204656751197e-05	0.00646265314667492	1.8204656751197e-05	0	0.000145637254009576	0.00065536764304309	3.64093135023939e-05	0.00688136025195245	0	0.000910232837559848	0.0465493073128106	1.8204656751197e-05	0.000691776956545484	0	1.8204656751197e-05	0.016639056270594	0.000109227940507182	1.8204656751197e-05	0.01414501829568	0.000163841910760773	0.00704520216271322	0	0.0160018932843021	0.000509730389033515	0.00263967522892356	0.00023666053776556	0.0519196810544137	0.00138355391309097	0.0053703737416031	0.000509730389033515	0	1.8204656751197e-05
CS.101	0.00108764297242299	0.000105255771524805	0.000350852571749351	0.00417514560381728	0.000105255771524805	0.00750824503543611	0.00298224685986948	0.0356115360325591	0.00754333029261104	0.00112272822959792	0	0.0111921970388043	0	0.00182443337309662	0.00119289874394779	0.0148410637849975	0	0	0.000842046172198442	0.000526278857624026	0.000350852571749351	0.0153322573854466	0.00136832502982247	0	0.261736018525016	0.0414707739807733	0.000596449371973897	7.01705143498702e-05	0.00280682057399481	3.50852571749351e-05	0.00712230720651182	3.50852571749351e-05	7.01705143498702e-05	0.000175426285874675	0.00252613851659533	0.00014034102869974	7.01705143498702e-05	0.00635043154866325	0.000806960915023507	0	0.0014034102869974	0.0177180548733422	0.000210511543049611	0	0.00375412251771805	0.000526278857624026	0.000842046172198442	0.000105255771524805	0.00308750263139429	0.00273665005964494	0.0317872430004912	0.00775384183566066	0.000385937828924286	0.00112272822959792	0.00375412251771805	7.01705143498702e-05	0.00178934811592169	0.0442775945547681	0.000175426285874675	0.0101747245807312	7.01705143498702e-05	0.000350852571749351	0.0458915163848151	0.00705213669216195	0.0216826889341099	0	0.0103852361237808	0	0.00014034102869974	0.00178934811592169	0.000596449371973897	0.000105255771524805	0.00982387200898183	0.0039997193179426	0.000701705143498702	0	0.000280682057399481	0.000456108343274156	0.0146656374991229	0.000982387200898183	0.0019998596589713	0.00385937828924286	0.000315767314574416	0	3.50852571749351e-05	0.000245596800224546	0	0.0279278647112483	0	0.0285944845975721	0.000315767314574416	0.000175426285874675	0	0.0316469019717915	0.0263490281383763	0.00126306925829766	0.0074029892639113	0.0666619886323767	0.00298224685986948	0.000421023086099221	0.00270156480247	0.0146305522419479	0	0.00764858606413585	0	0	0	0.00175426285874675	0	0	0	0.000315767314574416	0.0258227492807522	0.00105255771524805	0.000175426285874675	0	0.000491193600449091	0.000631534629148832	0.000175426285874675	0	0	0	0.030804855799593	0	0.00908708160830819	0.00014034102869974	0.00449091291839169	0	0	0.00182443337309662	0.00182443337309662	0.0019998596589713	0	0
CS.017	0	7.3062029663184e-05	0.00018265507415796	0.00179001972674801	0	0	0.00204573683056915	0.0301380872360634	0.00226492291955871	0.000255717103821144	0	0.000876744355958208	0	0.00113246145977935	0.00672170672901293	0.00672170672901293	0	0	0.00299554321619055	0.000292248118652736	0.000438372177979104	0.0221012639731132	0	0	0.30656827646672	0.0592533060568423	7.3062029663184e-05	0.000401841163147512	0	0.00347044640900124	0.00325126032001169	0	7.3062029663184e-05	7.3062029663184e-05	0.0013881785636005	0.000109593044494776	0	0.00124205450427413	0.000949806385621393	0	0.00515087309125447	0.0281288814203259	0	0	0.00157083363775846	0	0.000840213341126616	3.6531014831592e-05	0.00157083363775846	0.00208226784540075	0.0322568860962958	0.00774457514429751	0.00102286841528458	0.00073062029663184	0	0.00131511653393731	0.000584496237305472	0.0377730693358662	3.6531014831592e-05	0.035727332505297	0.000146124059326368	0.00299554321619055	0.0341564988675385	0	0.0146489369474684	7.3062029663184e-05	0.0116168627164463	0	0	0.00116899247461094	0.00036531014831592	0	0.0139183166508366	0.00116899247461094	0.000474903192810696	7.3062029663184e-05	7.3062029663184e-05	0.000219186088989552	0.00675823774384452	0.00102286841528458	0.00116899247461094	0.00489515598743333	0.000146124059326368	0	3.6531014831592e-05	0.00252064002337985	0.000401841163147512	0.0323664791407905	0.00153430262292687	0.0134434134580259	3.6531014831592e-05	0.000109593044494776	0	0.0782859647841017	0.00938847081171915	3.6531014831592e-05	0.00171695769708483	0.0688244319427194	0.000584496237305472	0.00131511653393731	0.00376269452765398	0.00657558266968656	0	0	0	3.6531014831592e-05	0.00142470957843209	0.00657558266968656	0	0	0.025608241396946	0.00036531014831592	0.0199094030832177	0	0	0	0	0	0	0	0	0	0.00697742383283408	0	0.00653905165485497	0.000840213341126616	0.000255717103821144	0	0.000219186088989552	0.00153430262292687	0.000474903192810696	0.00036531014831592	0	0
