g__Methanobrevibacter	k__Bacteria	g__Actinomyces	g__Bifidobacterium	g__Olsenella	f__Coriobacteriaceae	g__Collinsella	g__Senegalimassilia	f__Eggerthellaceae	g__Eggerthella	g__Enterorhabdus	g__Gordonibacter	g__Slackia	o__Thermoleophilales	f__Bacteroidaceae	g__Bacteroides	f__Barnesiellaceae	g__Barnesiella	f__Muribaculaceae	g__Butyricimonas	g__Odoribacter	f__Prevotellaceae	g__Massiliprevotella	g__Paraprevotella	g__Prevotella	g__Prevotellamassilia	f__Rikenellaceae	g__Alistipes	f__Tannerellaceae	g__Parabacteroides	f__Sphingobacteriaceae	g__Elusimicrobium	p__Firmicutes	f__Bacillaceae	f__Thermoactinomycetaceae	g__Granulicatella	g__Enterococcus	g__Lactobacillus	g__Weissella	g__Lactococcus	g__Streptococcus	o__Clostridiales	g__Colidextribacter	g__Flavonifractor	g__Flintibacter	g__Howardella	g__Intestinimonas	g__Pseudoflavonifractor	f__Clostridiaceae	g__Butyricicoccus	g__Clostridium	g__Hungatella	f__Clostridiales.Family.XIII..Incertae.Sedis	g__Ihubacter	g__Mogibacterium	f__Defluviitaleaceae	f__Eubacteriaceae	g__Eubacterium	f__Gracilibacteraceae	f__Lachnospiraceae	g__Anaerobium	g__Anaerosporobacter	g__Anaerostipes	g__Blautia	g__Butyrivibrio	g__Coprococcus	g__Cuneatibacter	g__Dorea	g__Eisenbergiella	g__Faecalicatena	g__Fusicatenibacter	g__Hespellia	g__Lachnobacterium	g__Lachnoclostridium	g__Lachnospira	g__Muricomes	g__Parasporobacterium	g__Pseudobutyrivibrio	g__Robinsoniella	g__Roseburia	g__Tyzzerella	f__Oscillospiraceae	g__Oscillibacter	f__Peptococcaceae	f__Peptostreptococcaceae	g__Intestinibacter	g__Paeniclostridium	g__Romboutsia	g__Terrisporobacter	f__Ruminococcaceae	g__Acutalibacter	g__Anaeromassilibacillus	g__Caproiciproducens	g__Drancourtella	g__Faecalibacterium	g__Gemmiger	g__Negativibacillus	g__Ruminiclostridium	g__Ruminococcus	g__Sporobacter	g__Subdoligranulum	f__Erysipelotrichaceae	g__Catenibacterium	g__Erysipelatoclostridium	g__Holdemanella	g__Holdemania	g__Longibaculum	g__Turicibacter	g__Phascolarctobacterium	g__Megamonas	g__Mitsuokella	g__Propionispira	g__Allisonella	g__Dialister	g__Megasphaera	g__Veillonella	g__Fusobacterium	o__Victivallales	f__Victivallaceae	g__Victivallis	f__Kiloniellaceae	g__Delftia	g__Duodenibacillus	g__Parasutterella	g__Sutterella	f__Desulfovibrionaceae	g__Desulfovibrio	f__Succinivibrionaceae	g__Succinivibrio	o__Enterobacterales	f__Enterobacteriaceae	g__Haemophilus	f__Spiroplasmataceae	g__Akkermansia
CS.021	0	0	0.000564121850319669	0.0388706817815505	0	0	0.0738193735561167	0	0.00445924891205072	0.000590984795572987	0.00193413205823887	0	0	0	0.000134314726266588	0.172379519690539	0	0	0.00996615268898082	0.00308923870413152	0	0	0	0	0.0913071509160264	2.68629452533176e-05	0	0.00247139096330522	0	0.0112555740611401	0	0	0	0	0.00330414226615806	0.000725299521839574	2.68629452533176e-05	0.00445924891205072	0	0.00123569548165261	0.0121957771450062	0.00897222371460807	0	0.000564121850319669	0.0013700102079192	5.37258905066351e-05	0.00099392897437275	0.000161177671519905	5.37258905066351e-05	0.00145059904367915	0.0243915542900124	0.00368022349970451	0.000832751302852845	0.000698436576586257	0.00010745178101327	0	0.000161177671519905	0.0253048944286252	0	0.0131359802288723	0	2.68629452533176e-05	0.00128942137215924	0.0274807929941439	0	0.0156073711921775	8.05888357599527e-05	0.00883790898834148	0	0.00010745178101327	0.00564121850319669	0.000617847740826304	0	0.00652769569655617	2.68629452533176e-05	2.68629452533176e-05	0.00145059904367915	0	0	0.0296835545049159	0.00577553322946328	0.00155805082469242	0.00491591898135712	0	0	0.00405630473325095	0.00899908665986139	0.0414763874711223	0.000537258905066351	0.00762907645194219	0.000940203083866115	0	0	0	0.0861226024821361	0.0128404878310858	0	0.000510395959813034	0.0506366518025036	0.000725299521839574	0.00330414226615806	0.00854241659055499	0.00174609144146564	5.37258905066351e-05	0.013619513243432	0.00010745178101327	0.00010745178101327	0.000644710686079622	0.0202277977757481	0	0	0	0.00147746198893247	0.000134314726266588	0	0.00128942137215924	0.0222962445602536	2.68629452533176e-05	0	2.68629452533176e-05	0	0	0	8.05888357599527e-05	0.0388706817815505	2.68629452533176e-05	0.0030623757588782	0	0.000859614248106162	0.0117391070756998	0.0125718583785526	0.0109600816633536	0.000188040616773223	0.0073335840541557
CS.010	0.00313873195229127	0.0155367231638418	0	0	0	0	0.0191462649089768	0.00392341494036409	0	0	0	0	0	0	0.00282485875706215	0.040646578782172	0	0.00156936597614564	0.00109855618330195	0.00266792215944758	0	0.00706214689265537	0	0	0.103421217827997	0.00894538606403013	0.000313873195229127	0.00847457627118644	0	0.00721908349026993	0.00156936597614564	0	0	0	0.00564971751412429	0	0	0.0130257376020088	0	0	0.00282485875706215	0.014752040175769	0	0	0.0127118644067797	0	0	0	0.000627746390458255	0.00188323917137476	0.0091023226616447	0.00894538606403013	0	0.00455116133082235	0.00235404896421846	0.00125549278091651	0.00486503452605147	0.0277777777777778	0	0.00894538606403013	0	0	0.000156936597614564	0.0409604519774011	0.00627746390458255	0.0152228499686127	0	0.0128688010043942	0	0	0.00627746390458255	0.00266792215944758	0	0.0160075329566855	0.00156936597614564	0.00109855618330195	0	0	0	0.0139673571876962	0.00612052730696798	0	0.00706214689265537	0	0	0	0	0.0069052102950408	0.000941619585687382	0.0106716886377903	0.00204017576898933	0	0	0	0.054300062774639	0.008631512868801	0.000313873195229127	0	0.0376647834274953	0.00486503452605147	0	0.00706214689265537	0.00235404896421846	0.00141242937853107	0.0145951035781544	0.00109855618330195	0	0	0.0100439422473321	0	0.00470809792843691	0.00360954174513497	0	0.00470809792843691	0.000627746390458255	0	0.00266792215944758	0	0	0	0	0.00973006905210295	0	0.00156936597614564	0.00816070307595731	0.000156936597614564	0.00109855618330195	0	0.0034526051475204	0.0357815442561205	0.0034526051475204	0	0.219711236660389	0.0230696798493409
CS.039	0	0.0012694594775172	0.000200440970134295	0.00928709828288902	0	0.000200440970134295	0.0214471838043696	0.00227166432818868	0.000133627313422864	6.68136567114318e-05	0.000400881940268591	6.68136567114318e-05	0.000534509253691455	0	0.00374156477584018	0.0794414378298924	0	0.000267254626845727	0.00140308679094007	0.000200440970134295	0.000534509253691455	0.0075499432083918	0	0	0.158749248346362	0.0242533573862498	0	0.00140308679094007	0	0.002939800895303	0.0014699004476515	0	0	0	0.0014699004476515	0.000267254626845727	0	0.000400881940268591	0.00106901850738291	6.68136567114318e-05	0.022583015968464	0.0227834569385982	0	0.000133627313422864	0.00153671410436293	0	0.000801763880537182	0.000133627313422864	0.000467695596980023	0.00160352776107436	0.0251219349234984	0.0136967996258435	6.68136567114318e-05	0.000400881940268591	0.000133627313422864	0.00073495022382575	0.000334068283557159	0.111578806708091	0	0.0722923765617692	0.000133627313422864	0.000267254626845727	0.0031402418654373	0.0434956905191421	6.68136567114318e-05	0.0124941538050377	0.000534509253691455	0.0217144384312153	6.68136567114318e-05	0.000200440970134295	0.00728268858154607	0.000400881940268591	0	0.0159684639540322	0.00106901850738291	0.000467695596980023	0.000868577537248614	0.000200440970134295	0	0.0746308545466693	0.0012694594775172	0.000400881940268591	0.00227166432818868	6.68136567114318e-05	0	0.00220485067147725	0.000200440970134295	0.0266586490278613	0.000534509253691455	0.00968798022315761	0.000133627313422864	0	0.000133627313422864	0	0.049976615220151	0.00547871985033741	0.000133627313422864	0.000668136567114318	0.0471036279815594	0.00140308679094007	0.000534509253691455	0.00828489343221754	0.00260573261174584	0.000200440970134295	0.00434288768624307	0	0	0.0016703414177858	0.0149662591033607	0	0	0.0155675820137636	0.000133627313422864	0.0115587626110777	0	6.68136567114318e-05	0	0	0	0	0	6.68136567114318e-05	0.0016703414177858	0.000133627313422864	0.00701543395470034	0.000267254626845727	0.000467695596980023	0	0.000133627313422864	0.00073495022382575	0	0.000133627313422864	0	0.000868577537248614
CS.143	0	0.000239678830367308	0.000958715321469231	0.00164779195877524	0.000838875906285577	0.00500329558391755	0.0527593025346036	0.00802924081730481	0.00122835400563245	0	0.00161783210497933	0	0.00218706932710168	0.000209718976571394	5.99197075918269e-05	0.0577026784109294	0	0.000359518245550962	0.0128827371322428	0.0022170291808976	0	0.0100665108754269	0	2.99598537959135e-05	0.0473365689975433	0	0.00137815327461202	0.00194739049673438	2.99598537959135e-05	0.00320570435616274	0	0	2.99598537959135e-05	0	0.00320570435616274	0.000239678830367308	0.000329558391755048	0.00611181017436635	2.99598537959135e-05	0.00308586494097909	0.00341542333273414	0.030109653064893	0.000179759122775481	0.000359518245550962	0.00302594523338726	0	0.0022170291808976	0.000119839415183654	0.00539277368326443	0.00257654742644856	0.0154592845586914	0.00497333573012164	0.000389478099346875	0.00362514230930553	0.00590209119779495	5.99197075918269e-05	0.00257654742644856	0.030828689555995	0.000119839415183654	0.009347474384325	0.000539277368326443	0.000179759122775481	0.000389478099346875	0.0415842770687279	0.0129726166936305	0.0119539816645695	5.99197075918269e-05	0.0164479597339565	0	8.98795613877404e-05	0.00506321529150938	0.000209718976571394	0.000209718976571394	0.00548265324465217	0.0015579123973875	0.000119839415183654	8.98795613877404e-05	5.99197075918269e-05	0	0.0116543831266103	0.00347534304032596	0.00209718976571394	0.0233087662532207	0.000119839415183654	0	0.00515309485289712	0.000808916052489664	0.0866139373239859	0.000329558391755048	0.0156989633890587	0.000299598537959135	0	0	0	0.0611780214512553	0.00817904008628438	0.00275630654922404	0.000479357660734616	0.0628857331176224	0.00707052549583558	0.00275630654922404	0.00164779195877524	0.00374498172448918	0	0.0207022589729762	2.99598537959135e-05	2.99598537959135e-05	2.99598537959135e-05	0.0166576787105279	0	0	0	0	0.0205824195577926	0	0.000419437953142789	0	0	0	0	0	0	0.0146204086524058	0	0	0.000239678830367308	0.00341542333273414	0	0.00473365689975433	0.0630954520941938	0.104679729162922	0.000119839415183654	0.000419437953142789	0
L.031.M1	0.0580615549379096	0.000254991457786164	0.00130045643470944	0.058036055792131	0.00242241884896856	0.00063747864446541	0.0775174031669939	0.00910319504296606	0.0049723334268302	2.54991457786164e-05	0.003722875283678	0	0.00112196241425912	0.000866970956472958	0.00035698804090063	0.0497743325598592	0.000101996583114466	0.000280490603564781	0.00063747864446541	0.000254991457786164	0.00191243593339623	0.00112196241425912	0	0	0.0177729046076956	0.000178494020450315	0.00721625825534845	0.000331488895122013	0	0.00385037101257108	2.54991457786164e-05	2.54991457786164e-05	0.00071397608180126	0.000152994874671699	0.00247341714052579	2.54991457786164e-05	0.00145345130938114	0.00270290945253334	0.000101996583114466	0.00112196241425912	0.000662977790244027	0.0221587576816177	0.00168294362138868	0.000152994874671699	0.00548231634240253	0.000688476936022643	0.00346788382589183	0.000535482061350945	0.0190988601881837	0.00130045643470944	0.0143305199275824	0.00678277277711197	0.00221842568273963	0.00385037101257108	0.00629828900731825	0.0150699951551623	0.0305989749343397	0.0219547645153887	0.0021674273911824	0.00953668052120254	0	0.00109646326848051	0.00214192824540378	0.0346788382589183	2.54991457786164e-05	0.00790473519137109	2.54991457786164e-05	0.00764974373358493	2.54991457786164e-05	0.00063747864446541	0.0105821454981258	0.000280490603564781	0.000611979498686794	0.00239691970318994	0.000178494020450315	0.000280490603564781	0.00063747864446541	0	0.000433485478236479	0.00999566514521764	0.00181043935028177	0.00407986332457863	0.0650993191728077	0.00265191116097611	0	0.00423285819925033	2.54991457786164e-05	0.0107861386643547	0.00359537955478491	0.0218272687864957	0.000790473519137109	0.000127495728893082	2.54991457786164e-05	0	0.0313894484534768	0.00160644618405283	0.000101996583114466	0.0108626361016906	0.0252696534666089	0.0229492312007548	0.00122395899737359	0.00846571639850065	0.0337863681566668	0.00135145472626667	0.0194303490833057	2.54991457786164e-05	0	0.00211642909962516	0.0110666292679195	0.000152994874671699	0.00239691970318994	0	0.000305989749343397	0.0350103271540403	0	7.64974373358493e-05	0.00397786674146416	0.000152994874671699	0.000178494020450315	7.64974373358493e-05	2.54991457786164e-05	7.64974373358493e-05	0.000127495728893082	0	0.000229492312007548	0.00509982915572328	0.00272840859831196	0	0.00150444960093837	0.00453884794859372	0.0237142055741133	0	0.000305989749343397	0.0445215085294643
CS.092	0.00507312184887107	0.0117120220461591	0.0003131556696834	0.0119938621488742	0.00454075721040929	0.0023486675226255	0.0438104781887076	0.0626937650706166	0.0034447123665174	0.00018789340181004	0.0258666583158488	0	0.0350108038706041	0	0.000626311339366799	0.049008862305452	0.00817336297873673	0.00028184010271506	0.011242288541634	0.00034447123665174	0.0001565778348417	0.00973914132715373	0.00021920896877838	0.000563680205430119	0.0777565527823881	0.0003131556696834	0.000469733504525099	0.00275576989321392	6.26311339366799e-05	0.00103341370995522	6.26311339366799e-05	0	0.0001565778348417	0.00100209814298688	0.00457207277737763	6.26311339366799e-05	0.00037578680362008	0.000845520308145179	0.00012526226787336	0.00012526226787336	0.00228603638868882	0.0479441330285285	0.00028184010271506	3.131556696834e-05	0.0034447123665174	0.0001565778348417	0.00028184010271506	0.000407102370588419	0.00676416246516143	0.00598127329095293	0.0294992640841762	0.00331945009864404	0.001565778348417	0.00717126483574985	0.00012526226787336	0.00510443741583941	0.00948861679140701	0.0418375974697022	0.00037578680362008	0.0181003977077005	9.39467009050199e-05	0.000626311339366799	0.00532364638461779	0.0365452666520527	0.00310024112986566	0.00814204741176839	6.26311339366799e-05	0.00441549494253593	3.131556696834e-05	9.39467009050199e-05	0.00131525381267028	0.000438417937556759	0.00012526226787336	0.00782889174208499	0.0020355118529421	0.00134656937963862	0.0001565778348417	3.131556696834e-05	0.000438417937556759	0.00836125638054677	0.00106472927692356	0.00353865906742242	0.011054395139824	0.00244261422353052	3.131556696834e-05	0.00607521999185795	0	0.00306892556289732	0.00122130711176526	0.0449691541665362	9.39467009050199e-05	0	0.00018789340181004	0	0.0480693952964018	0.00475996617918767	9.39467009050199e-05	0.00482259731312435	0.0355118529420975	0.00936335452353365	0.00206682741991044	0.0159083080199167	0.0012526226787336	3.131556696834e-05	0.00106472927692356	0	0	0.00256787649140388	0.00447812607647261	0	0	9.39467009050199e-05	0	0.0622553471330598	3.131556696834e-05	0.0001565778348417	6.26311339366799e-05	0.00181630288416372	0	6.26311339366799e-05	3.131556696834e-05	0	0.00306892556289732	0	0.00936335452353365	3.131556696834e-05	0.00194156515203708	0	0.00122130711176526	0.00886230545204021	0.000751573607240159	0.000657626906335139	0.0142172674036263	0.00034447123665174
CS.243	0	0.000311908673140504	0.00345178931608825	0.266723503358217	0.0342475723108274	0.00798486203239691	0.0132457216527001	0.0107296583560334	0.000894138196336113	0	0.00141398598490362	0	0.00143477989644632	0.00361814060842985	0.000810962550165312	0.0312324551371358	6.23817346281009e-05	0.00116445904639122	0	0	0	0.0145349441683475	0.00070699299245181	0	0.129026221122455	0.048636959098376	0.000561435611652908	0.000166351292341602	2.07939115427003e-05	0.00567673785115718	8.31756461708012e-05	0	0.000249526938512404	0.000540641700110208	0.00262003285438024	0	0	4.15878230854006e-05	0	4.15878230854006e-05	0.000249526938512404	0.00933646628267243	0	8.31756461708012e-05	0.00114366513484852	8.31756461708012e-05	0.000623817346281009	0.000166351292341602	0.00149716163107442	0.00259923894283754	0.000103969557713501	0.00232891809278243	0.000124763469256202	0.00106048948867772	4.15878230854006e-05	0.000207939115427003	0.000311908673140504	0.0330831132644362	0.000603023434738309	0.029277827452122	0	8.31756461708012e-05	0.00284876588134994	0.0219999584121769	0	0.00253685720820944	4.15878230854006e-05	0.00561435611652908	0	2.07939115427003e-05	0.00272400241209374	0.000228733026969703	0	0.00390925537002766	4.15878230854006e-05	4.15878230854006e-05	0	0	2.07939115427003e-05	0.00865026720176332	0.00068619908090911	0.000561435611652908	0.00908693934416003	0.000956519930964214	0	2.07939115427003e-05	0	0.000769374727079911	0	0.00447069098168056	0.00313988064294774	0	8.31756461708012e-05	0	0.0854213886174128	0.00806803767856772	0	0.000603023434738309	0.0101890166559231	0.00293194152752074	0.015262731072342	0.000103969557713501	0.0118317356677965	2.07939115427003e-05	0.0182362604229482	4.15878230854006e-05	0	0.000145557380798902	0.000166351292341602	0.000457466053939407	0	2.07939115427003e-05	0.000145557380798902	0.0069451664552619	2.07939115427003e-05	0.000270320850055104	0	0	0	0	0.0448316732860618	0	0.00245368156203863	2.07939115427003e-05	0.00586388305504148	0.00137239816181822	0.00397163710465576	0	0.00779771682851261	0.00282797196980724	0.0276974901748768	0.000311908673140504	2.07939115427003e-05	2.07939115427003e-05
CS.174	0.00226769145547708	3.46212435950699e-05	3.46212435950699e-05	0.00515856529566542	0.00219844896828694	0.00221575959008448	0.0417705303974519	0.0066819000138485	0.00102132668605456	0	0.00280432073120066	0	0.0028216313529982	0.000259659326963025	0.00154064533998061	0.0141947098739787	0	0	0.00211189585929927	0.000571250519318654	0	0.0214824816507409	0.00102132668605456	0	0.206377233070212	0.0531089876748373	0.00020772746157042	3.46212435950699e-05	0	0.00167913031436089	0.00628375571250519	0	6.92424871901399e-05	3.46212435950699e-05	0.00226769145547708	0	0	0.00328901814153164	0	0	0.00100401606425703	0.0134157318930896	8.65531089876748e-05	1.7310621797535e-05	0.00176568342334857	0.000259659326963025	0.000328901814153164	0.00017310621797535	0.000571250519318654	0.0035140562248996	0.00976319069380972	0.00538360337903337	0.000415454923140839	0.000605871762913724	0.000796288602686609	0.00017310621797535	0.000588561141116189	0.0387238609610857	6.92424871901399e-05	0.0318342334856668	0	0.000380833679545769	0.00270045700041545	0.0211882010801828	0	0.0270218806259521	1.7310621797535e-05	0.0169297881179892	0.00020772746157042	8.65531089876748e-05	0.00105594792964963	0.000259659326963025	0	0.0132599362969118	0.00782440105248581	5.19318653926049e-05	0	0	0	0.0124636476942252	0.000917462955269353	0.00200803212851406	0.00290818446198587	0.000536629275723584	0.00024234870516549	0.00406799612242072	0	0.0150602409638554	0.00148871347458801	0.0146447860407146	5.19318653926049e-05	0	0.000190416839772885	0	0.0779151087107049	0.00862068965517241	0.000121174352582745	0.0020772746157042	0.024494529843512	0.00119443290402991	0.00244079767345243	0.00586830078936435	0.0232827863176845	8.65531089876748e-05	0.0129829663481512	1.7310621797535e-05	5.19318653926049e-05	0.000225038083367955	0.0149217559894751	0	0	0.0164797119512533	0.000225038083367955	0.0263294557540507	0	8.65531089876748e-05	0	5.19318653926049e-05	0.0186262290541476	0.00169644093615843	0.00308129067996122	0	0.0121520565018695	0	0.00832640908461432	0.000294280570558094	0.00547015648802105	0.00133291787841019	0.0855144716798227	0.00017310621797535	6.92424871901399e-05	0.000796288602686609	0	6.92424871901399e-05
CS.313	0.000592150453587247	0.000663208508017717	0.000923754707596106	0.0271204907742959	0.00172907932447476	0.00490300575570241	0.0324024728202942	0.011700892962884	0.00298443828607973	0	0.00336341457637557	0	0.0018711954333357	4.73720362869798e-05	7.10580544304697e-05	0.00871645467680428	0.00450034344726308	2.36860181434899e-05	0.00272389208650134	0.000189488145147919	0.000142116108860939	0.00987706956583529	0.00113692887088752	4.73720362869798e-05	0.103034178924181	0.0209147540207016	0.000686894526161207	0.000402662308439328	0.00191856746962268	0.000521092399156778	0.00878751273123475	0.000118430090717449	0.000284232217721879	0.000189488145147919	0.00606362064473341	2.36860181434899e-05	0.000142116108860939	0.00165802127004429	0.000142116108860939	0.000189488145147919	0.0355527132333783	0.0153485397569815	0.000355290272152348	2.36860181434899e-05	0.00426348326582818	0	0.000663208508017717	0.000118430090717449	0.0035055306852365	0.00405030910253677	0.00312655439494067	0.0172907932447476	0.00104218479831356	0.00225017172363154	0.00149221914303986	0.000118430090717449	0.00172907932447476	0.0840853644093891	0.000142116108860939	0.0086690826405173	4.73720362869798e-05	0.000450034344726308	0.000165802127004429	0.0296548947156494	0	0.0292285463890665	7.10580544304697e-05	0.00615836471730737	2.36860181434899e-05	7.10580544304697e-05	0.00236860181434899	0.000757952580591677	4.73720362869798e-05	0.00817167625950401	0.00132641701603543	0.000165802127004429	0.000426348326582818	0.000378976290295838	0.000142116108860939	0.0198015111679576	0.000710580544304697	0.000971126743883086	0.00852696653165636	0.000236860181434899	0	0.00911911698524361	0.000378976290295838	0.000639522489874227	0	0.0256045856131126	0.000639522489874227	2.36860181434899e-05	2.36860181434899e-05	0	0.106966057936	0.0148274473578247	0.000118430090717449	4.73720362869798e-05	0.0584334067599896	0.00454771548355006	0.000971126743883086	0.00487931973755892	0.00118430090717449	0	0.0141405528316635	0	2.36860181434899e-05	2.36860181434899e-05	0.00999549965655274	0	0.000402662308439328	0.00357658873966697	7.10580544304697e-05	0.00971126743883086	0.00198962552405315	0.0072716075700514	0.000118430090717449	0	0.000165802127004429	0	2.36860181434899e-05	0.000284232217721879	0.00319761244937114	0	0.00812430422321704	7.10580544304697e-05	0.00101849878017007	7.10580544304697e-05	0.0318813804211374	0.0277363272460267	0.0560884909637841	0.00968758142068737	0	0
L.005.M1	0	3.65523795599094e-05	8.52888856397885e-05	0.00698150449594269	0.0028632697321929	0.00285108560567293	0.0251480371372176	0.00224187927967444	0.000475180934278822	0	0.00320442527475205	0	0.00124278090503692	3.65523795599094e-05	0.00197382849623511	0.00536101566878671	0	0	0.0012915174111168	0	0	0.0285839608158491	0.00694495211638278	0	0.20965226502912	0.0168750152301581	3.65523795599094e-05	0	0	0.000280234909959305	0.00441065380022906	1.21841265199698e-05	2.43682530399396e-05	0.000194946024319517	0.00119404439895704	0.000170577771279577	0.000341155542559154	0.00498330774666764	0.00335063479299169	0.000889441235957794	0.0636376928138022	0.0185807929429539	0.00165704120671589	0	0.00103565075419743	3.65523795599094e-05	0.00115749201939713	0.000170577771279577	0.000280234909959305	0.00330189828691181	0.0157662597168409	0.00381363160075054	0.00159612057411604	0.00054828569339864	0.00275361259351317	0.000194946024319517	0.000207130150839486	0.0193971294197919	2.43682530399396e-05	0.012500913809489	0.000134025391719668	0.000121841265199698	0.000377707922119063	0.0114287106757317	0	0.0127080439603285	2.43682530399396e-05	0.00790749811146039	0	2.43682530399396e-05	0.00203474912883495	0.000207130150839486	0	0.00402076175159003	9.74730121597583e-05	0.000109657138679728	0	4.87365060798791e-05	0	0.0222116626459049	0.000170577771279577	0.000706679338158247	0.00727392353242196	0.000280234909959305	0	0.0148402661013232	6.09206325998489e-05	0.000938177742037673	0.0039111046129103	0.0148280819748032	6.09206325998489e-05	0	0.000219314277359456	0	0.0940005361015669	0.00252211418963375	0.000134025391719668	0	0.00593366961522528	0.00319224114823208	0.000523917440358701	0.00281453322611302	0.0271584180130126	0	0.00731047591198187	0	0	0.000134025391719668	0.00829739016009942	0	0	0.00662816482686356	0.00214440626751468	0.022589370568024	0.0272071545190925	0.00795623461754027	0	0	4.87365060798791e-05	0	0	0	0.00188853961059532	0	0.00523917440358701	1.21841265199698e-05	0.00215659039403465	0.00057265394643858	0.135061042473865	0.0224309769232644	0.00678655847162317	0.00444720617978897	0.00125496503155689	0
