g__Methanobrevibacter	k__Bacteria	g__Actinomyces	g__Bifidobacterium	g__Corynebacterium	g__Olsenella	f__Coriobacteriaceae	g__Collinsella	g__Senegalimassilia	f__Eggerthellaceae	g__Eggerthella	g__Enterorhabdus	g__Gordonibacter	g__Slackia	o__Thermoleophilales	f__Bacteroidaceae	g__Bacteroides	f__Barnesiellaceae	g__Barnesiella	f__Muribaculaceae	g__Butyricimonas	g__Odoribacter	f__Prevotellaceae	g__Massiliprevotella	g__Paraprevotella	g__Prevotella	g__Prevotellamassilia	f__Rikenellaceae	g__Alistipes	f__Tannerellaceae	g__Parabacteroides	f__Sphingobacteriaceae	g__Elusimicrobium	p__Firmicutes	f__Bacillaceae	f__Thermoactinomycetaceae	g__Granulicatella	g__Enterococcus	g__Lactobacillus	g__Weissella	g__Lactococcus	g__Streptococcus	o__Clostridiales	g__Colidextribacter	g__Flavonifractor	g__Flintibacter	g__Howardella	g__Intestinimonas	g__Pseudoflavonifractor	f__Christensenellaceae	f__Clostridiaceae	g__Butyricicoccus	g__Clostridium	g__Hungatella	f__Clostridiales.Family.XIII..Incertae.Sedis	g__Ihubacter	g__Mogibacterium	f__Defluviitaleaceae	f__Eubacteriaceae	g__Eubacterium	f__Gracilibacteraceae	f__Lachnospiraceae	g__Anaerosporobacter	g__Anaerostipes	g__Blautia	g__Butyrivibrio	g__Coprococcus	g__Cuneatibacter	g__Dorea	g__Eisenbergiella	g__Faecalicatena	g__Fusicatenibacter	g__Hespellia	g__Lachnobacterium	g__Lachnoclostridium	g__Lachnospira	g__Muricomes	g__Parasporobacterium	g__Pseudobutyrivibrio	g__Robinsoniella	g__Roseburia	g__Tyzzerella	f__Oscillospiraceae	g__Oscillibacter	f__Peptococcaceae	f__Peptostreptococcaceae	g__Intestinibacter	g__Paeniclostridium	g__Romboutsia	g__Terrisporobacter	f__Ruminococcaceae	g__Acutalibacter	g__Caproiciproducens	g__Drancourtella	g__Faecalibacterium	g__Gemmiger	g__Negativibacillus	g__Ruminiclostridium	g__Ruminococcus	g__Sporobacter	g__Subdoligranulum	f__Erysipelotrichaceae	g__Catenibacterium	g__Erysipelatoclostridium	g__Holdemanella	g__Holdemania	g__Longibaculum	g__Turicibacter	g__Phascolarctobacterium	g__Megamonas	g__Mitsuokella	g__Propionispira	g__Allisonella	g__Dialister	g__Megasphaera	g__Veillonella	g__Fusobacterium	f__Victivallaceae	g__Victivallis	c__Alphaproteobacteria	f__Kiloniellaceae	g__Oxalobacter	g__Duodenibacillus	g__Parasutterella	g__Sutterella	f__Desulfovibrionaceae	g__Desulfovibrio	f__Succinivibrionaceae	g__Succinivibrio	o__Enterobacterales	f__Enterobacteriaceae	g__Haemophilus	f__Spiroplasmataceae	g__Akkermansia
CS.036	0	0	0.00179533213644524	0.000209455415918612	0.00068821065230401	0	0.00218432076600838	0.079443447037702	0.0134649910233393	0.000329144225014961	2.99222022740874e-05	2.99222022740874e-05	5.98444045481747e-05	0.00341113105924596	0	2.99222022740874e-05	0.0988330341113106	0	0.00182525433871933	0	0.00203470975463794	0.0128665469778576	0	0	0	0.00068821065230401	2.99222022740874e-05	0	0.0385697187312986	2.99222022740874e-05	0.0126271693596649	0	0	0	0.00158587672052663	0.0066427289048474	0.000239377618192699	0	0.0115798922800718	0.0033213644524237	0.000538599640933573	0.014721723518851	0.0222022740873728	0	0	0.00371035308198683	0	0.0068821065230401	8.97666068222621e-05	0.000149611011370437	0.0492519449431478	0.000538599640933573	0.00281268701376421	0.00694195092758827	0.00161579892280072	0.00511669658886894	2.99222022740874e-05	0.000179533213644524	0.00771992818671454	0.0372531418312388	0.000299222022740874	0.0049670855774985	5.98444045481747e-05	0.000448833034111311	0.0627169359664871	0.0255535607420706	0.0179233991621783	0	0.0251645721125075	0.00158587672052663	0.000807899461400359	0.023638539796529	0.00248354278874925	5.98444045481747e-05	0.0059245960502693	0	0.000179533213644524	0.000149611011370437	0	0.000628366247755835	0.00122681029323758	0.00362058647516457	0.000598444045481747	0.0366247755834829	2.99222022740874e-05	0	0.00152603231597846	0	0.0267803710353082	0	0.0360562537402753	0.000119688809096349	0.000658288450029922	0	0.00577498503889886	0.00137642130460802	0.000837821663674446	0.00233393177737881	0.0357570317175344	0.0252842609216038	0.00128665469778576	0.00942549371633752	0.00484739676840215	5.98444045481747e-05	0.0907839616995811	2.99222022740874e-05	0.000119688809096349	0	0.00272292040694195	0	0	0	0	0.00691202872531418	0	8.97666068222621e-05	0	0.000598444045481747	0.000418910831837223	0	0	0.000807899461400359	0	2.99222022740874e-05	0.00526630760023938	0.00167564332734889	0.00739078396169958	0	0	0.00119688809096349	0.000299222022740874	8.97666068222621e-05	0.0103231597845601	0.0426391382405745
CS.143	0	0.000239678830367308	0.000958715321469231	0.00164779195877524	8.98795613877404e-05	0.000838875906285577	0.00500329558391755	0.0527593025346036	0.00802924081730481	0.00122835400563245	0	0.00161783210497933	0	0.00218706932710168	0.000209718976571394	5.99197075918269e-05	0.0577026784109294	0	0.000359518245550962	0.0128827371322428	0.0022170291808976	0	0.0100665108754269	0	2.99598537959135e-05	0.0473365689975433	0	0.00137815327461202	0.00194739049673438	2.99598537959135e-05	0.00320570435616274	0	0	2.99598537959135e-05	0	0.00320570435616274	0.000239678830367308	0.000329558391755048	0.00611181017436635	2.99598537959135e-05	0.00308586494097909	0.00341542333273414	0.030109653064893	0.000179759122775481	0.000359518245550962	0.00302594523338726	0	0.0022170291808976	0.000119839415183654	5.99197075918269e-05	0.00539277368326443	0.00257654742644856	0.0154592845586914	0.00497333573012164	0.000389478099346875	0.00362514230930553	0.00590209119779495	5.99197075918269e-05	0.00257654742644856	0.030828689555995	0.000119839415183654	0.009347474384325	0.000179759122775481	0.000389478099346875	0.0415842770687279	0.0129726166936305	0.0119539816645695	5.99197075918269e-05	0.0164479597339565	0	8.98795613877404e-05	0.00506321529150938	0.000209718976571394	0.000209718976571394	0.00548265324465217	0.0015579123973875	0.000119839415183654	8.98795613877404e-05	5.99197075918269e-05	0	0.0116543831266103	0.00347534304032596	0.00209718976571394	0.0233087662532207	0.000119839415183654	0	0.00515309485289712	0.000808916052489664	0.0866139373239859	0.000329558391755048	0.0156989633890587	0.000299598537959135	0	0	0.0611780214512553	0.00817904008628438	0.00275630654922404	0.000479357660734616	0.0628857331176224	0.00707052549583558	0.00275630654922404	0.00164779195877524	0.00374498172448918	0	0.0207022589729762	2.99598537959135e-05	2.99598537959135e-05	2.99598537959135e-05	0.0166576787105279	0	0	0	0	0.0205824195577926	0	0.000419437953142789	0	0	0	0	0	0	0.0146204086524058	0	0	0.000239678830367308	0.00341542333273414	0	0.00473365689975433	0.0630954520941938	0.104679729162922	0.000119839415183654	0.000419437953142789	0
CS.005	0.0018686100210886	0.0028029150316329	0.000320333146472331	0.0155895464616535	0	0.00317663703585062	0.00290969274712368	0.0784282320279758	0.00592616320973813	0.000427110861963108	2.66944288726943e-05	0.00475160833933958	0.000106777715490777	0.00136141587250741	0.00114786044152585	0.000213555430981554	0.0333413416619951	0	0	0.00037372200421772	0.00018686100210886	0.000213555430981554	0.0110514935532954	0.000106777715490777	0	0.163716932276234	0.0114252155575131	0.000133472144363471	0.000587277435199274	0.000533888577453885	0.0018419155922159	0.00018686100210886	0.00178852673447052	0.000213555430981554	0.00018686100210886	0.00178852673447052	0.000160166573236166	0.000427110861963108	0.00939643896318838	0.00018686100210886	0	0.00213555430981554	0.0226368756840447	0.00216224873868824	0.000160166573236166	0.00205547102319746	0.000453805290835803	0.00130802701476202	0.00018686100210886	0	0.0032567203224687	0.00258935960065134	0.0136675475828195	0.00531219134566616	0.000427110861963108	0.00189530444996129	0.000880916152798911	0.00122794372814394	0.00619310749846507	0.0388136995808975	0.000266944288726943	0.0217292651023731	0.000106777715490777	0.00194869330770668	0.0245054857051333	0	0.0163636848989616	5.33888577453885e-05	0.0134806865807106	0	0.000106777715490777	0.00795493980406289	0.000427110861963108	0.000213555430981554	0.00872907824137103	0.00355035904006834	0.000694055150690051	0.000613971864071968	0.000133472144363471	0.0014148047302528	0.0600624649635621	0.000667360721817357	0.00242919302741518	0.00960999439416994	0.00037372200421772	5.33888577453885e-05	0.00827527295053522	0	0.0264808734417127	0.0055791356343931	0.00993032754064227	0.00443127519286725	0.000347027575345025	0	0.0549638290488775	0.0092896612476976	0.000266944288726943	0.00112116601265316	0.0611836309762153	0.00360374789781373	0.00224233202530632	0.00555244120552041	0.019300072074958	2.66944288726943e-05	0.0140946584447826	2.66944288726943e-05	0.000106777715490777	0.0018419155922159	0.0121459651370759	5.33888577453885e-05	2.66944288726943e-05	0	0.000266944288726943	0.0223432369664451	0	0.000240249859854248	0.00018686100210886	0.000587277435199274	2.66944288726943e-05	0.000133472144363471	0.0120658818504578	5.33888577453885e-05	0.00742105122660901	0.00074744400843544	0.00848882838151678	0.000160166573236166	0.00352366461119564	0	0.0559515229171672	0.000854221723926217	0.00146819358799818	0.00117455487039855	0.000320333146472331	0.00112116601265316
CS.257	0	0.000842381130662673	9.35979034069637e-05	0.0406214900786222	0.00112317484088356	0	0	0.0158180456757769	0.00168476226132535	0.000374391613627855	0	0	0	0.000374391613627855	0.00458629726694122	0.000187195806813927	0.0162860351928117	0	0	0.00168476226132535	0	0.000842381130662673	0.00814301759640584	0.00243354548858106	0	0.264507675028079	0.0266754024709847	0.000280793710220891	0.00074878322725571	0	0.00140396855110446	0.000561587420441782	0	0.000187195806813927	0	0.000842381130662673	9.35979034069637e-05	0.0146012729314863	0.0131037064769749	0.00177836016473231	0.0177836016473231	0.00542867839760389	0.0085174092100337	0.000561587420441782	0.000467989517034818	0.00336952452265069	0	0.000467989517034818	0.000187195806813927	0	0.000187195806813927	0.00252714339198802	0.0072070385623362	0.00542867839760389	0.000187195806813927	0.000467989517034818	0.000467989517034818	9.35979034069637e-05	0.0010295769374766	0.0287345563459379	0	0.0290153500561587	0.000187195806813927	0.00187195806813927	0.0453013852489704	0.00074878322725571	0.0126357169599401	9.35979034069637e-05	0.0132909022837888	0	0.000467989517034818	0.00131037064769749	0.000187195806813927	0	0.00627105952826657	0.000187195806813927	0.00140396855110446	0.000280793710220891	0.000187195806813927	0	0.0255522276301011	0.000374391613627855	0.000935979034069637	0.00393111194309247	0	0	0.000187195806813927	0	0.0133845001871958	0.000187195806813927	0.00561587420441782	0.000280793710220891	0	0	0.0897603893672782	0.00505428678397604	0.000374391613627855	9.35979034069637e-05	0.0398727068513665	0.00252714339198802	0.00168476226132535	0.00299513290902284	0.0140396855110446	0	0.00252714339198802	0	0	0.00074878322725571	0.00243354548858106	0	0.00833021340321977	0	0.000280793710220891	0.0353800074878323	0	0.00252714339198802	0.00159116435791838	0	9.35979034069637e-05	0	0	0	0.000842381130662673	0	0.00739423436915013	0	0.000935979034069637	9.35979034069637e-05	0.0830213403219768	0.00945338824410333	0.0131037064769749	0.000280793710220891	9.35979034069637e-05	0.000655185323848746
CS.039	0	0.0012694594775172	0.000200440970134295	0.00928709828288902	0.000133627313422864	0	0.000200440970134295	0.0214471838043696	0.00227166432818868	0.000133627313422864	6.68136567114318e-05	0.000400881940268591	6.68136567114318e-05	0.000534509253691455	0	0.00374156477584018	0.0794414378298924	0	0.000267254626845727	0.00140308679094007	0.000200440970134295	0.000534509253691455	0.0075499432083918	0	0	0.158749248346362	0.0242533573862498	0	0.00140308679094007	0	0.002939800895303	0.0014699004476515	0	0	0	0.0014699004476515	0.000267254626845727	0	0.000400881940268591	0.00106901850738291	6.68136567114318e-05	0.022583015968464	0.0227834569385982	0	0.000133627313422864	0.00153671410436293	0	0.000801763880537182	0.000133627313422864	0	0.000467695596980023	0.00160352776107436	0.0251219349234984	0.0136967996258435	6.68136567114318e-05	0.000400881940268591	0.000133627313422864	0.00073495022382575	0.000334068283557159	0.111578806708091	0	0.0722923765617692	0.000267254626845727	0.0031402418654373	0.0434956905191421	6.68136567114318e-05	0.0124941538050377	0.000534509253691455	0.0217144384312153	6.68136567114318e-05	0.000200440970134295	0.00728268858154607	0.000400881940268591	0	0.0159684639540322	0.00106901850738291	0.000467695596980023	0.000868577537248614	0.000200440970134295	0	0.0746308545466693	0.0012694594775172	0.000400881940268591	0.00227166432818868	6.68136567114318e-05	0	0.00220485067147725	0.000200440970134295	0.0266586490278613	0.000534509253691455	0.00968798022315761	0.000133627313422864	0.000133627313422864	0	0.049976615220151	0.00547871985033741	0.000133627313422864	0.000668136567114318	0.0471036279815594	0.00140308679094007	0.000534509253691455	0.00828489343221754	0.00260573261174584	0.000200440970134295	0.00434288768624307	0	0	0.0016703414177858	0.0149662591033607	0	0	0.0155675820137636	0.000133627313422864	0.0115587626110777	0	6.68136567114318e-05	0	0	0	0.000601322910402886	0	6.68136567114318e-05	0.0016703414177858	0.000133627313422864	0.00701543395470034	0.000267254626845727	0.000467695596980023	0	0.000133627313422864	0.00073495022382575	0	0.000133627313422864	0	0.000868577537248614
CS.264	0.000623521823263814	0.000236508277789723	0.00249408729305526	0.420511717910127	2.15007525263384e-05	0	0	0.00215007525263384	0.000129004515158031	0.000107503762631692	0.026940442915502	0.000193506772737046	0.000301010535368738	0	0	0	0.0672543539023866	2.15007525263384e-05	2.15007525263384e-05	0.000688024080842829	4.30015050526768e-05	4.30015050526768e-05	2.15007525263384e-05	0	2.15007525263384e-05	0.0325521393248764	4.30015050526768e-05	0	0.0019565684798968	0	0.0659858095033326	0	0	0	0	8.60030101053537e-05	0	0.00313910986884541	0.0105783702429585	0	0	0.00503117609116319	0.001397548914212	2.15007525263384e-05	0.00307460761126639	0.000301010535368738	0	0.000107503762631692	0	4.30015050526768e-05	0.000623521823263814	0.00144055041926467	0.00412814448505698	0.0261664158245539	8.60030101053537e-05	0.000107503762631692	2.15007525263384e-05	6.45022575790153e-05	0.000645022575790153	0.00354762416684584	4.30015050526768e-05	0.00507417759621587	0	0.00262309180821329	0.0310255858955063	0.000236508277789723	0.00118254138894861	4.30015050526768e-05	0.00144055041926467	0.0234573210062352	2.15007525263384e-05	0.000236508277789723	8.60030101053537e-05	0	0.00518168135884756	0.000580520318211137	2.15007525263384e-05	0	2.15007525263384e-05	0	0.00208557299505483	0.000559019565684799	0.000946033111158891	0.00120404214147495	2.15007525263384e-05	0	0.00148355192431735	0	0.0021285745001075	0.000150505267684369	0.000989034616211567	2.15007525263384e-05	0.000989034616211567	0	0.018426144915072	0.000301010535368738	4.30015050526768e-05	0.000150505267684369	0.00326811438400344	0.000494517308105784	0.025155880455816	0.0015695549344227	0.000494517308105784	0.00350462266179316	0.00141904966673834	0.000107503762631692	0	0.0046441625456891	6.45022575790153e-05	0.00040851429800043	0	0	0.000258009030316061	0.00350462266179316	0.000795527843474522	0.000774027090948183	0.00367662868200387	0	0.000107503762631692	2.15007525263384e-05	0	0	0.00126854439905397	8.60030101053537e-05	6.45022575790153e-05	0.000107503762631692	0.0222532788647603	0	0.00528918512147925	0.00131154590410664	0.119866695334337	2.15007525263384e-05	0.000301010535368738	0
CS.245	0	0	0.000221655768591378	0.000277069710739222	5.54139421478444e-05	5.54139421478444e-05	0	0.0668846281724482	5.54139421478444e-05	0	0.00108057187188297	0.00169012523550925	0	2.77069710739222e-05	0	0.00640031031807603	0.0279840407846614	2.77069710739222e-05	0	0	0	0.00207802283054416	0.000304776681813144	0	0	0.341626953341461	0.0760556355979164	0	5.54139421478444e-05	0	0.00648343123129779	0	0	0.000997450958661199	0	5.54139421478444e-05	0.000110827884295689	8.31209132217666e-05	0.000221655768591378	2.77069710739222e-05	2.77069710739222e-05	0.00155159038013964	0.0144353319295135	0.000138534855369611	0.000692674276848055	0.00462706416934501	5.54139421478444e-05	0.000858916103291588	0.000471018508256677	0	0	0.00504266873545384	0.0019949019173224	0.00338025047101851	0	8.31209132217666e-05	0.000637260334700211	0	0.000637260334700211	0.0120248254460822	0	0.00892164468580295	2.77069710739222e-05	0.00088662307436551	0.0655824005319738	0	0.0113044441981603	8.31209132217666e-05	0.00559680815693228	0	8.31209132217666e-05	0.000443311537182755	0.000304776681813144	0	0.0141859691898482	0.000166241826443533	0.00202260888839632	0	0	0	0.00875540285935941	8.31209132217666e-05	0.0032417156156489	0.0185913775906018	0	2.77069710739222e-05	0.0076194170453286	0	0.00088662307436551	0.00121910672725258	0.00900476559902471	0	0	0	0.12171672392774	0.00637260334700211	0.00152388340906572	0.000110827884295689	0.0127174997229303	0.00631718940485426	0.00177324614873102	0.00146846946691788	0.000471018508256677	0.00116369278510473	0.00504266873545384	0	0	0.0169012523550925	0.034883076582068	2.77069710739222e-05	0	0	0	0.000166241826443533	0	8.31209132217666e-05	0.000110827884295689	0	0	0	0	0	0.0207248143632938	0	5.54139421478444e-05	0	0.000110827884295689	2.77069710739222e-05	0.00288152499168791	0.000554139421478444	0.0247423251690125	0.000443311537182755	0	2.77069710739222e-05
CS.001	0.0471720871071734	0.00611855523147437	2.19303054891555e-05	0.0290137941621527	0	0.00892563433408627	0.00133774863483848	0.063334722252681	0.00458343384723349	0.00164477291168666	2.19303054891555e-05	0.00225882146538301	0	0.000877212219566219	4.38606109783109e-05	0.000438606109783109	0.0100660102195224	0	0	0.000438606109783109	0.000789490997609597	0.00155705168973004	0.00276321849163359	0.000197372749402399	0.000877212219566219	0.0115572709927849	0.000263163665869866	0.00495624904054913	0.000372815193315643	0.00903528586153205	0.000614048553696353	0.00250005482576372	0.000548257637228887	0.00594311278756113	0.000701769775652975	0.00256584574223119	0.000109651527445777	0.000131581832934933	0.000131581832934933	0.000394745498804798	0.000153512138424088	0.000197372749402399	0.067567271212088	0.000855281914077063	4.38606109783109e-05	0.00848702822430317	0.00109651527445777	0.00278514879712274	0.000855281914077063	0.00024123336038071	0.0130266014605583	0.004232548959407	0.00096493344152284	0.00616241584245268	0.00267549726967697	0.00427640957038532	0.00357463979473234	0.00622820675892015	0.0244742209258975	0.0436193776179302	0.00072370008114213	0.0271058575845962	0.000175442443913244	0.00366236101668896	0.01791705958464	0	0.0076317463102261	8.77212219566219e-05	0.0111625254939801	2.19303054891555e-05	0.000197372749402399	0.00460536415272265	0.000789490997609597	0.00142546985679511	0.00587732187109366	0.00725893111691046	0.00024123336038071	0.000745630386631286	0.00024123336038071	0.00096493344152284	0.00657909164674664	0.000109651527445777	0.00914493738897783	0.0342112765630825	0.00109651527445777	0	0.000943003136033685	2.19303054891555e-05	0.000811421303098752	0.000153512138424088	0.0392991074365666	0.00278514879712274	0	0	0.0684444834316542	0.0161407048400184	0.00190793657755653	0.00135967894032764	0.0647821224149652	0.0139476742911029	0.00232461238185048	0.0110528739665344	0.0345183008399307	0	0.0201320204390447	0	0	0.000943003136033685	0.00092107283054453	0	2.19303054891555e-05	0	0.000197372749402399	0.0209873023531218	0	0	0	0.0166889624772473	0.000855281914077063	0	0.00100879405250115	0.000153512138424088	0.00214916993793724	0.000109651527445777	4.38606109783109e-05	0.000219303054891555	0.00453957323625518	8.77212219566219e-05	0.0538388999758767	0.0070396280620189	0.00480273690212505	0.000131581832934933	0.00199565779951315	0.0328515976227549
L.001.M1	0.0012370925799692	0.00171678153954909	0.00154005402812492	0.000807897195081926	0	0.000959377919159787	0.000100987149385241	0.0111338332197228	0.00280239339544043	0.00141382009139337	0.000176727511424171	0.0107803781968744	0	0.00141382009139337	0	0.00282764018278674	0.0223434068014845	0.0014895604534323	0	0.00573102072761241	0.000126233936731551	0.000328208235502032	0.00196924941301219	0	5.04935746926204e-05	0.0751091923552728	0.00802847837612664	0.000631169683657755	0.000403948597540963	0	0.00254992552197733	0.000302961448155722	0	0.00126233936731551	0	0.00358504380317605	0.00204498977505112	0.000126233936731551	0.0217879774798657	0	2.52467873463102e-05	0.0202479234517408	0.0567042843798127	0.02148501603171	0	0.00542805927945669	0.000176727511424171	0.00355979701582974	0.000176727511424171	0	0.00207023656239744	0.00583200787699765	0.0115630286046101	0.0032315887803277	0.00280239339544043	0.00391325203867808	5.04935746926204e-05	0.0022217172864753	0.00812946552551188	0.0249185791108082	0.000252467873463102	0.0154510338559418	5.04935746926204e-05	0.0014895604534323	0.0695801459264309	0.000353455022848343	0.118180211568078	5.04935746926204e-05	0.0137594991037391	0	0	0.000757403620389305	0.00151480724077861	2.52467873463102e-05	0.00608447575046075	0	0.005453306066803	0	0	0.00181776868893433	0.00348405665379081	0.00171678153954909	0.00416571991214118	0.0109318589209523	5.04935746926204e-05	0	0.00469590244641369	0	0.00482213638314525	0.00340831629175187	0.0113610543058396	0.00568052715291979	0.000176727511424171	0	0.154005402812492	0.0128506147592719	0.000479688959579893	0.00434244742356535	0.0613496932515337	0.0284783761266379	0.010174455300563	0.00840718018632129	0.00557954000353455	2.52467873463102e-05	0.0216364967557878	5.04935746926204e-05	0	0.000757403620389305	0.0169910878840668	0	0	0.00201974298770481	0	0.00100987149385241	2.52467873463102e-05	0	0.00201974298770481	2.52467873463102e-05	0.00464540887172107	0	0	2.52467873463102e-05	0.000833143982428236	2.52467873463102e-05	0.00191875583831957	2.52467873463102e-05	0.00252467873463102	7.57403620389305e-05	0.00232270443586054	0.00277714660809412	0.0014895604534323	5.04935746926204e-05	0.00287813375747936	2.52467873463102e-05
L.004.M1	0.00156803530983216	0.000793696885223687	0.000251659987997754	0.000425886133534661	7.74338424608475e-05	0.00563331203902666	0.00226493989197979	0.0351162475559943	0.00549780281472017	0.000251659987997754	0	0.00408463518980971	0	0.00106471533383665	0	0.00232301527382543	0.00340708906827729	0.00327157984397081	0	0.00061947073968678	3.87169212304238e-05	0	0.0332965522581644	0.00609791509379174	0	0.241400003871692	0.032251195384943	0.000503319975995509	0	0.00110343225506708	9.67923030760594e-05	0.00919526879222564	0.000561395357841144	0.00170354453413865	0	0.00197456298275161	0.000135509224306483	3.87169212304238e-05	0.00360067367442941	5.80753818456356e-05	0	0.0292893509108156	0.0194746113789032	0.000871130727684534	5.80753818456356e-05	0.00143252608552568	0.000135509224306483	0.00230365681321021	5.80753818456356e-05	0	0.000503319975995509	0.00284569371043615	0.00623342431809822	0.00218750604951894	0.00100663995199102	0.00133573378244962	0.00454923824457479	0.000425886133534661	0.000522678436610721	0.0367036413264417	0.000212943066767331	0.0291538416865091	0.000483961515380297	0.00435565363842267	0.0339160229978512	0.000677546121532416	0.0081499119190042	0	0.0150028069767892	3.87169212304238e-05	0.00030973536984339	0.00305863677720348	0.000406527672919449	1.93584606152119e-05	0.0081499119190042	0.00443308748088352	0.000348452291073814	0	0.000135509224306483	9.67923030760594e-05	0.0409044272799427	0.000774338424608475	0.00166482761290822	0.00873066573746056	0.00030973536984339	3.87169212304238e-05	0.00638829200301992	0.000174226145536907	0.00644636738486556	0.00803376115531293	0.0100857579805254	0.00269082602551445	1.93584606152119e-05	0	0.0946822308690013	0.00274890140736009	0.000135509224306483	0.000251659987997754	0.0182550283601448	0.00199392144336682	0.000987281491375806	0.0053816520510289	0.0242367926902453	5.80753818456356e-05	0.0254757341696188	0	3.87169212304238e-05	0.00873066573746056	0.00679481967593937	1.93584606152119e-05	0	0.0101051164411406	0.00108407379445187	0.0240819250053236	1.93584606152119e-05	0.01233133941189	0	1.93584606152119e-05	0	1.93584606152119e-05	1.93584606152119e-05	1.93584606152119e-05	0.000271018448612966	1.93584606152119e-05	0.000600112279071568	3.87169212304238e-05	0.00332965522581644	3.87169212304238e-05	0.0189519329422924	0.00935013647714734	0.000483961515380297	0.0107439456414426	0.00118086609752792	1.93584606152119e-05
